Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Sensor25,Sensor26,Sensor27,Sensor28,Sensor29,Sensor30,Sensor31,Sensor32,Sensor33,Sensor34,Sensor35,Sensor36,Sensor37,Sensor38,Sensor39,Sensor40,Sensor41,Sensor42,Sensor43,Sensor44,Sensor45,Sensor46,Sensor47,Sensor48,Sensor49,Sensor50
23.24219,23.24219,23.53516,23.53516,23.53516,23.24219,22.94922,23.14453,23.14453,23.14453,23.14453,22.85156,23.04688,23.14453,23.04688,22.75391,22.75391,22.75391,22.94922,23.04688,23.14453,23.33984,23.24219,23.33984,23.14453,23.24219,23.63281,23.73047,23.73047,24.31641,24.31641,23.92578,23.73047,22.94922,22.85156,23.4375,23.63281,23.63281,23.73047,23.73047,23.4375,23.04688,23.24219,23.53516,23.63281,23.63281,23.4375,22.94922,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.94922,23.04688,23.14453,23.14453,23.14453,22.85156,23.04688,23.14453,23.04688,22.75391,22.75391,22.75391,22.94922,23.04688,22.94922,23.33984,23.24219,23.24219,23.14453,23.24219,23.63281,23.63281,23.73047,24.31641,24.31641,23.92578,23.63281,22.94922,22.85156,23.53516,23.63281,23.63281,23.73047,23.63281,23.33984,23.14453,23.24219,23.53516,23.63281,23.63281,23.4375,22.94922,22.85156,23.04688
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.94922,23.04688,23.04688,23.14453,23.14453,22.85156,23.04688,23.14453,23.04688,22.75391,22.75391,22.75391,22.85156,23.14453,23.04688,23.33984,23.24219,23.33984,23.14453,23.24219,23.63281,23.53516,23.63281,24.31641,24.31641,23.92578,23.73047,22.94922,22.85156,23.53516,23.73047,23.63281,23.73047,23.63281,23.4375,23.14453,23.24219,23.4375,23.63281,23.4375,23.4375,22.94922,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.94922,23.14453,23.14453,23.14453,23.24219,22.94922,23.04688,23.14453,23.04688,22.75391,22.85156,22.75391,22.85156,23.04688,23.04688,23.33984,23.24219,23.33984,23.14453,23.24219,23.63281,23.63281,23.73047,24.31641,24.31641,23.82813,23.73047,22.94922,22.85156,23.53516,23.73047,23.73047,23.73047,23.73047,23.4375,23.04688,23.14453,23.53516,23.53516,23.53516,23.4375,22.85156,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.94922,23.04688,23.14453,23.14453,23.14453,22.85156,23.04688,23.14453,23.04688,22.75391,22.75391,22.65625,22.94922,23.04688,23.04688,23.33984,23.24219,23.24219,23.14453,23.24219,23.53516,23.63281,23.73047,24.31641,24.31641,23.82813,23.73047,22.94922,22.94922,23.63281,23.73047,23.73047,23.73047,23.73047,23.4375,23.14453,23.24219,23.4375,23.73047,23.63281,23.33984,22.94922,22.94922,23.04688
23.24219,23.24219,23.4375,23.53516,23.33984,23.24219,22.94922,23.04688,23.14453,23.14453,23.14453,22.94922,23.04688,23.14453,23.14453,22.75391,22.75391,22.75391,22.85156,23.04688,23.04688,23.33984,23.24219,23.33984,23.24219,23.24219,23.63281,23.63281,23.63281,24.31641,24.41406,23.92578,23.63281,23.04688,22.85156,23.63281,23.73047,23.63281,23.73047,23.73047,23.4375,23.14453,23.24219,23.53516,23.63281,23.63281,23.4375,22.94922,22.94922,22.94922
23.24219,23.24219,23.4375,23.4375,23.33984,23.24219,22.85156,23.04688,23.14453,23.14453,23.14453,22.94922,23.04688,23.24219,23.14453,22.75391,22.75391,22.65625,22.94922,23.04688,23.14453,23.33984,23.24219,23.33984,23.24219,23.24219,23.73047,23.63281,23.63281,24.31641,24.31641,23.92578,23.73047,22.94922,22.85156,23.63281,23.73047,23.63281,23.73047,23.63281,23.4375,23.14453,23.24219,23.53516,23.63281,23.63281,23.4375,22.94922,22.75391,22.94922
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.85156,23.04688,23.14453,23.14453,23.14453,22.94922,23.04688,23.24219,23.14453,22.75391,22.75391,22.75391,22.85156,23.04688,23.04688,23.33984,23.24219,23.33984,23.24219,23.24219,23.63281,23.73047,23.73047,24.41406,24.41406,23.92578,23.73047,22.94922,22.94922,23.53516,23.63281,23.63281,23.73047,23.73047,23.4375,23.14453,23.24219,23.53516,23.63281,23.63281,23.4375,23.04688,22.85156,23.04688
23.24219,23.24219,23.4375,23.4375,23.4375,23.24219,22.94922,23.04688,23.24219,23.14453,23.24219,22.85156,23.04688,23.24219,23.14453,22.75391,22.75391,22.65625,22.85156,22.94922,23.04688,23.33984,23.24219,23.33984,23.14453,23.33984,23.63281,23.73047,23.73047,24.41406,24.41406,23.92578,23.73047,22.94922,22.85156,23.53516,23.73047,23.73047,23.73047,23.73047,23.4375,23.14453,23.33984,23.53516,23.63281,23.63281,23.33984,22.94922,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.94922,23.04688,23.14453,23.24219,23.24219,22.94922,23.04688,23.24219,23.04688,22.75391,22.75391,22.65625,22.85156,23.04688,23.04688,23.33984,23.24219,23.33984,23.14453,23.33984,23.63281,23.63281,23.73047,24.31641,24.31641,23.92578,23.73047,22.94922,22.85156,23.63281,23.73047,23.63281,23.73047,23.73047,23.4375,23.14453,23.24219,23.53516,23.63281,23.63281,23.4375,22.85156,22.94922,22.94922
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.85156,23.04688,23.14453,23.14453,23.14453,22.94922,23.04688,23.24219,23.04688,22.75391,22.75391,22.75391,22.94922,23.04688,23.14453,23.33984,23.24219,23.33984,23.14453,23.24219,23.73047,23.73047,23.73047,24.41406,24.41406,23.92578,23.73047,22.94922,22.94922,23.53516,23.63281,23.73047,23.73047,23.63281,23.4375,23.14453,23.24219,23.53516,23.63281,23.53516,23.33984,22.94922,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.94922,23.04688,23.14453,23.14453,23.14453,22.85156,23.04688,23.14453,23.14453,22.75391,22.85156,22.75391,22.94922,23.04688,23.04688,23.33984,23.24219,23.33984,23.14453,23.4375,23.63281,23.73047,23.73047,24.31641,24.31641,23.92578,23.73047,22.94922,22.94922,23.53516,23.73047,23.63281,23.73047,23.73047,23.4375,23.14453,23.24219,23.53516,23.63281,23.63281,23.4375,22.94922,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.85156,23.04688,23.14453,23.14453,23.24219,22.94922,23.04688,23.14453,23.14453,22.75391,22.85156,22.65625,22.85156,23.04688,23.04688,23.33984,23.14453,23.33984,23.14453,23.33984,23.73047,23.73047,23.73047,24.31641,24.41406,23.92578,23.73047,22.94922,22.85156,23.53516,23.73047,23.63281,23.73047,23.73047,23.4375,23.14453,23.24219,23.53516,23.63281,23.73047,23.33984,22.94922,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.85156,23.04688,23.14453,23.14453,23.14453,22.94922,23.04688,23.24219,23.14453,22.75391,22.75391,22.65625,22.85156,23.04688,23.04688,23.33984,23.14453,23.4375,23.14453,23.24219,23.73047,23.63281,23.73047,24.31641,24.41406,23.92578,23.73047,23.04688,22.85156,23.53516,23.73047,23.63281,23.73047,23.73047,23.33984,23.14453,23.24219,23.53516,23.73047,23.73047,23.4375,22.94922,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.33984,23.24219,22.85156,23.04688,23.14453,23.14453,23.14453,22.94922,23.14453,23.24219,23.14453,22.75391,22.75391,22.65625,22.85156,23.04688,23.04688,23.4375,23.24219,23.33984,23.14453,23.24219,23.63281,23.63281,23.73047,24.31641,24.31641,24.02344,23.73047,22.94922,22.94922,23.53516,23.73047,23.73047,23.73047,23.73047,23.33984,23.14453,23.24219,23.53516,23.73047,23.63281,23.4375,22.94922,22.85156,22.94922
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.94922,23.04688,23.14453,23.14453,23.14453,22.94922,23.04688,23.24219,23.14453,22.75391,22.75391,22.65625,22.85156,23.04688,23.04688,23.33984,23.24219,23.33984,23.14453,23.24219,23.63281,23.63281,23.73047,24.31641,24.31641,23.92578,23.73047,22.94922,22.85156,23.53516,23.73047,23.63281,23.63281,23.63281,23.33984,23.14453,23.24219,23.53516,23.63281,23.63281,23.33984,22.94922,23.04688,23.14453
23.24219,23.24219,23.4375,23.53516,23.33984,23.24219,22.94922,23.04688,23.14453,23.14453,23.24219,22.94922,23.04688,23.24219,23.14453,22.75391,22.75391,22.75391,22.85156,22.94922,23.04688,23.33984,23.24219,23.4375,23.14453,23.24219,23.63281,23.82813,23.73047,24.41406,24.31641,23.92578,23.73047,22.94922,22.94922,23.53516,23.63281,23.73047,23.73047,23.73047,23.4375,23.14453,23.24219,23.4375,23.63281,23.63281,23.53516,22.94922,22.85156,23.04688
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.85156,23.04688,23.14453,23.24219,23.24219,22.94922,23.04688,23.24219,23.14453,22.75391,22.75391,22.65625,22.85156,23.04688,23.04688,23.33984,23.24219,23.33984,23.14453,23.24219,23.73047,23.73047,23.73047,24.41406,24.31641,23.92578,23.73047,22.94922,22.85156,23.53516,23.73047,23.73047,23.73047,23.73047,23.4375,23.14453,23.24219,23.53516,23.63281,23.63281,23.4375,22.94922,22.94922,23.04688
23.24219,23.24219,23.53516,23.4375,23.4375,23.24219,22.85156,23.04688,23.14453,23.14453,23.14453,22.94922,23.04688,23.24219,23.24219,22.75391,22.75391,22.65625,22.94922,23.04688,23.04688,23.33984,23.14453,23.4375,23.24219,23.24219,23.73047,23.73047,23.73047,24.41406,24.41406,23.92578,23.73047,22.94922,22.94922,23.63281,23.73047,23.63281,23.73047,23.73047,23.4375,23.14453,23.04688,23.53516,23.63281,23.53516,23.4375,22.94922,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.94922,23.04688,23.14453,23.14453,23.14453,22.94922,23.04688,23.24219,23.14453,22.85156,22.75391,22.65625,22.85156,23.04688,23.04688,23.24219,23.14453,23.33984,23.14453,23.24219,23.63281,23.73047,23.73047,24.41406,24.41406,23.92578,23.73047,22.94922,22.85156,23.63281,23.73047,23.73047,23.73047,23.63281,23.4375,23.04688,23.24219,23.53516,23.73047,23.63281,23.4375,22.94922,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.94922,23.04688,23.14453,23.14453,23.14453,22.94922,23.04688,23.24219,23.14453,22.75391,22.75391,22.65625,22.85156,22.94922,23.04688,23.33984,23.14453,23.33984,23.14453,23.33984,23.73047,23.73047,23.73047,24.31641,24.41406,23.92578,23.73047,22.94922,22.94922,23.53516,23.73047,23.63281,23.73047,23.63281,23.4375,23.14453,23.24219,23.53516,23.63281,23.63281,23.33984,23.04688,22.94922,23.04688
23.33984,23.33984,23.4375,23.53516,23.4375,23.24219,22.94922,23.04688,23.14453,23.14453,23.14453,22.94922,23.04688,23.24219,23.14453,22.75391,22.75391,22.65625,22.94922,23.04688,23.04688,23.33984,23.24219,23.33984,23.14453,23.24219,23.63281,23.63281,23.73047,24.41406,24.41406,23.92578,23.73047,22.94922,22.94922,23.53516,23.73047,23.73047,23.73047,23.73047,23.4375,23.14453,23.24219,23.53516,23.63281,23.63281,23.53516,23.04688,22.94922,23.14453
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.94922,23.04688,23.14453,23.24219,23.14453,22.94922,23.04688,23.24219,23.14453,22.75391,22.65625,22.65625,22.85156,22.94922,23.04688,23.33984,23.24219,23.33984,23.14453,23.24219,23.63281,23.73047,23.73047,24.31641,24.41406,23.92578,23.73047,22.94922,22.94922,23.53516,23.63281,23.63281,23.73047,23.63281,23.4375,23.14453,23.24219,23.53516,23.73047,23.73047,23.4375,22.94922,22.85156,23.04688
23.24219,23.24219,23.53516,23.53516,23.33984,23.24219,22.85156,23.04688,23.14453,23.24219,23.24219,22.94922,23.04688,23.24219,23.14453,22.75391,22.75391,22.65625,22.85156,23.04688,23.04688,23.33984,23.14453,23.24219,23.14453,23.33984,23.63281,23.73047,23.73047,24.31641,24.41406,23.92578,23.73047,23.04688,22.85156,23.53516,23.73047,23.63281,23.73047,23.73047,23.4375,23.04688,23.24219,23.53516,23.73047,23.63281,23.4375,22.94922,22.94922,23.04688
23.24219,23.24219,23.53516,23.4375,23.4375,23.24219,22.94922,23.04688,23.14453,23.14453,23.14453,22.94922,23.14453,23.24219,23.14453,22.85156,22.75391,22.75391,22.94922,23.04688,23.04688,23.33984,23.14453,23.33984,23.14453,23.24219,23.63281,23.73047,23.73047,24.31641,24.31641,23.82813,23.73047,22.94922,22.75391,23.63281,23.63281,23.73047,23.73047,23.73047,23.4375,23.14453,23.24219,23.53516,23.73047,23.63281,23.33984,22.94922,22.94922,23.04688
23.24219,23.24219,23.4375,23.53516,23.4375,23.24219,22.94922,23.04688,23.24219,23.24219,23.14453,22.94922,23.14453,23.24219,23.14453,22.85156,22.75391,22.65625,22.94922,23.04688,23.04688,23.24219,23.24219,23.33984,23.14453,23.24219,23.63281,23.73047,23.73047,24.31641,24.21875,23.82813,23.63281,22.85156,22.85156,23.53516,23.73047,23.63281,23.73047,23.63281,23.4375,23.14453,23.24219,23.53516,23.73047,23.63281,23.4375,22.94922,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.33984,23.24219,22.94922,23.04688,23.14453,23.24219,23.24219,22.94922,23.14453,23.24219,23.14453,22.85156,22.75391,22.75391,22.94922,23.04688,23.14453,23.4375,23.24219,23.33984,23.14453,23.24219,23.63281,23.73047,23.73047,24.31641,24.31641,23.92578,23.73047,22.94922,22.85156,23.63281,23.73047,23.73047,23.73047,23.73047,23.4375,23.04688,23.33984,23.53516,23.63281,23.63281,23.4375,22.94922,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.94922,23.04688,23.24219,23.14453,23.24219,22.85156,23.14453,23.14453,23.14453,22.85156,22.75391,22.75391,22.94922,23.04688,23.04688,23.33984,23.24219,23.33984,23.24219,23.24219,23.63281,23.63281,23.73047,24.31641,24.31641,23.92578,23.73047,22.94922,22.94922,23.63281,23.73047,23.73047,23.73047,23.53516,23.33984,23.14453,23.24219,23.53516,23.63281,23.63281,23.4375,22.94922,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.94922,23.04688,23.14453,23.24219,23.24219,23.04688,23.04688,23.24219,23.14453,22.85156,22.75391,22.75391,22.94922,23.04688,23.04688,23.33984,23.24219,23.33984,23.24219,23.24219,23.63281,23.73047,23.73047,24.31641,24.31641,23.92578,23.63281,22.94922,22.94922,23.63281,23.73047,23.73047,23.73047,23.73047,23.4375,23.24219,23.24219,23.53516,23.73047,23.63281,23.4375,22.94922,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.33984,23.24219,22.85156,23.04688,23.24219,23.24219,23.24219,22.94922,23.14453,23.24219,23.14453,22.85156,22.75391,22.75391,22.94922,23.04688,23.04688,23.33984,23.24219,23.33984,23.14453,23.24219,23.63281,23.73047,23.73047,24.41406,24.41406,23.92578,23.73047,22.94922,22.94922,23.63281,23.73047,23.73047,23.63281,23.73047,23.4375,23.24219,23.24219,23.53516,23.73047,23.63281,23.4375,22.94922,22.94922,23.04688
23.33984,23.33984,23.53516,23.53516,23.4375,23.24219,22.94922,23.04688,23.24219,23.24219,23.14453,22.94922,23.04688,23.24219,23.14453,22.85156,22.75391,22.75391,22.94922,23.04688,23.14453,23.33984,23.24219,23.33984,23.24219,23.33984,23.63281,23.63281,23.73047,24.31641,24.41406,23.92578,23.73047,22.94922,22.85156,23.63281,23.73047,23.73047,23.73047,23.63281,23.4375,23.14453,23.24219,23.53516,23.63281,23.63281,23.53516,23.04688,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.94922,22.94922,23.14453,23.24219,23.14453,22.94922,23.04688,23.24219,23.14453,22.85156,22.75391,22.75391,22.94922,23.04688,23.14453,23.33984,23.24219,23.33984,23.14453,23.33984,23.63281,23.73047,23.73047,24.31641,24.41406,23.92578,23.73047,22.94922,22.85156,23.73047,23.73047,23.73047,23.73047,23.73047,23.4375,23.14453,23.24219,23.53516,23.73047,23.63281,23.4375,23.04688,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.94922,23.04688,23.24219,23.24219,23.24219,22.94922,23.14453,23.24219,23.14453,22.75391,22.85156,22.75391,22.94922,23.14453,23.04688,23.33984,23.24219,23.33984,23.14453,23.33984,23.63281,23.73047,23.73047,24.31641,24.41406,23.92578,23.73047,22.94922,23.04688,23.63281,23.73047,23.73047,23.73047,23.73047,23.4375,23.14453,23.24219,23.53516,23.63281,23.63281,23.4375,22.94922,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.33984,23.24219,22.94922,23.04688,23.24219,23.24219,23.24219,22.94922,23.14453,23.24219,23.24219,22.75391,22.75391,22.75391,22.94922,23.14453,23.14453,23.33984,23.24219,23.33984,23.24219,23.33984,23.63281,23.73047,23.73047,24.41406,24.41406,23.92578,23.63281,22.85156,22.85156,23.73047,23.73047,23.63281,23.73047,23.73047,23.4375,23.14453,23.24219,23.53516,23.63281,23.63281,23.4375,22.94922,22.85156,23.04688
23.24219,23.24219,23.63281,23.53516,23.4375,23.33984,22.94922,23.04688,23.24219,23.24219,23.24219,23.14453,23.04688,23.24219,23.24219,22.85156,22.75391,22.75391,22.94922,23.04688,23.14453,23.33984,23.33984,23.4375,23.14453,23.33984,23.63281,23.73047,23.73047,24.31641,24.41406,24.02344,23.73047,22.94922,22.94922,23.63281,23.63281,23.73047,23.73047,23.63281,23.4375,23.14453,23.14453,23.53516,23.63281,23.63281,23.4375,22.94922,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.33984,23.24219,22.94922,23.04688,23.24219,23.24219,23.24219,22.94922,23.14453,23.24219,23.14453,22.85156,22.75391,22.75391,22.94922,23.04688,23.14453,23.33984,23.24219,23.33984,23.14453,23.33984,23.63281,23.73047,23.73047,24.51172,24.41406,24.02344,23.73047,22.94922,22.94922,23.63281,23.73047,23.73047,23.82813,23.73047,23.4375,23.14453,23.24219,23.53516,23.73047,23.63281,23.4375,22.94922,22.85156,23.04688
23.33984,23.33984,23.53516,23.53516,23.4375,23.24219,22.94922,23.04688,23.24219,23.14453,23.14453,22.94922,23.04688,23.24219,23.14453,22.85156,22.75391,22.75391,23.04688,23.14453,23.14453,23.4375,23.24219,23.33984,23.24219,23.33984,23.63281,23.82813,23.73047,24.31641,24.41406,24.02344,23.82813,22.94922,22.94922,23.63281,23.73047,23.73047,23.82813,23.73047,23.4375,23.14453,23.24219,23.53516,23.73047,23.63281,23.33984,22.94922,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.94922,23.04688,23.24219,23.14453,23.14453,22.94922,23.14453,23.24219,23.14453,22.85156,22.75391,22.75391,23.04688,23.04688,23.14453,23.33984,23.24219,23.33984,23.14453,23.33984,23.73047,23.73047,23.73047,24.31641,24.31641,24.02344,23.82813,22.94922,22.85156,23.63281,23.73047,23.73047,23.73047,23.73047,23.4375,23.14453,23.24219,23.53516,23.73047,23.63281,23.33984,22.94922,22.94922,22.94922
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.94922,23.04688,23.24219,23.24219,23.24219,22.94922,23.04688,23.24219,23.14453,22.85156,22.65625,22.75391,22.94922,23.04688,23.14453,23.33984,23.24219,23.33984,23.14453,23.33984,23.63281,23.73047,23.73047,24.41406,24.41406,23.92578,23.73047,22.94922,22.94922,23.63281,23.63281,23.73047,23.73047,23.73047,23.4375,23.14453,23.24219,23.53516,23.73047,23.63281,23.33984,22.94922,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.94922,23.04688,23.24219,23.14453,23.14453,22.94922,23.04688,23.24219,23.14453,22.85156,22.75391,22.75391,22.94922,23.04688,23.14453,23.33984,23.24219,23.33984,23.14453,23.24219,23.63281,23.73047,23.73047,24.31641,24.31641,23.92578,23.73047,22.94922,22.94922,23.63281,23.73047,23.73047,23.73047,23.73047,23.4375,23.14453,23.24219,23.4375,23.73047,23.63281,23.4375,22.94922,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.94922,23.14453,23.14453,23.24219,23.24219,22.94922,23.14453,23.24219,23.04688,22.75391,22.75391,22.75391,22.94922,23.04688,23.14453,23.4375,23.24219,23.33984,23.14453,23.33984,23.73047,23.73047,23.73047,24.31641,24.31641,23.92578,23.73047,22.94922,22.85156,23.63281,23.73047,23.63281,23.73047,23.73047,23.4375,23.14453,23.33984,23.63281,23.63281,23.73047,23.4375,22.94922,22.85156,22.94922
23.24219,23.24219,23.53516,23.53516,23.4375,23.4375,22.94922,23.04688,23.24219,23.14453,23.24219,22.94922,23.04688,23.24219,23.14453,22.85156,22.85156,22.75391,23.04688,23.04688,23.14453,23.33984,23.24219,23.33984,23.14453,23.24219,23.63281,23.73047,23.73047,24.31641,24.31641,23.82813,23.73047,23.04688,22.85156,23.63281,23.73047,23.63281,23.73047,23.73047,23.4375,23.14453,23.14453,23.53516,23.73047,23.63281,23.4375,22.94922,22.94922,22.94922
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.94922,23.14453,23.14453,23.24219,23.14453,22.94922,23.04688,23.24219,23.14453,22.75391,22.75391,22.75391,22.94922,23.04688,23.14453,23.33984,23.24219,23.24219,23.14453,23.24219,23.63281,23.73047,23.73047,24.41406,24.31641,23.82813,23.73047,23.04688,22.94922,23.63281,23.73047,23.73047,23.73047,23.73047,23.4375,23.14453,23.14453,23.53516,23.73047,23.63281,23.4375,22.94922,22.94922,23.04688
23.33984,23.33984,23.53516,23.53516,23.4375,23.24219,22.85156,23.04688,23.14453,23.14453,23.14453,22.94922,23.04688,23.24219,23.14453,22.85156,22.75391,22.85156,22.94922,23.04688,23.14453,23.4375,23.24219,23.33984,23.14453,23.24219,23.63281,23.73047,23.73047,24.31641,24.31641,23.92578,23.73047,22.94922,22.94922,23.63281,23.73047,23.63281,23.73047,23.73047,23.4375,23.14453,23.24219,23.4375,23.73047,23.63281,23.4375,22.94922,22.85156,23.04688
23.24219,23.24219,23.53516,23.53516,23.4375,23.33984,22.94922,23.04688,23.14453,23.14453,23.14453,22.85156,23.04688,23.14453,23.04688,22.75391,22.75391,22.75391,22.94922,23.14453,23.14453,23.33984,23.24219,23.33984,23.24219,23.24219,23.63281,23.73047,23.73047,24.31641,24.31641,23.92578,23.73047,23.04688,22.94922,23.63281,23.73047,23.73047,23.63281,23.73047,23.4375,23.14453,23.33984,23.53516,23.63281,23.63281,23.4375,22.94922,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.94922,23.04688,23.14453,23.14453,23.14453,22.85156,23.04688,23.04688,23.04688,22.75391,22.75391,22.75391,22.94922,23.04688,23.14453,23.33984,23.24219,23.33984,23.14453,23.24219,23.63281,23.73047,23.73047,24.41406,24.31641,23.92578,23.73047,23.04688,22.94922,23.63281,23.73047,23.73047,23.73047,23.73047,23.4375,23.04688,23.24219,23.53516,23.63281,23.63281,23.4375,22.94922,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.94922,23.14453,23.14453,23.14453,23.14453,22.94922,23.04688,23.14453,23.14453,22.75391,22.75391,22.75391,22.94922,23.04688,23.14453,23.24219,23.24219,23.33984,23.24219,23.24219,23.63281,23.73047,23.73047,24.31641,24.31641,23.92578,23.63281,22.94922,22.94922,23.53516,23.73047,23.73047,23.73047,23.73047,23.4375,23.14453,23.24219,23.53516,23.73047,23.63281,23.4375,23.04688,22.94922,22.94922
23.24219,23.24219,23.63281,23.53516,23.4375,23.33984,22.94922,23.04688,23.14453,23.14453,23.14453,22.94922,23.04688,23.24219,23.04688,22.75391,22.75391,22.75391,22.94922,23.04688,23.14453,23.33984,23.24219,23.33984,23.14453,23.33984,23.63281,23.73047,23.73047,24.31641,24.41406,23.82813,23.73047,22.85156,22.85156,23.63281,23.73047,23.63281,23.73047,23.63281,23.4375,23.14453,23.33984,23.53516,23.73047,23.63281,23.4375,22.94922,22.94922,23.14453
23.14453,23.14453,23.53516,23.53516,23.33984,23.24219,22.94922,23.04688,23.14453,23.14453,23.14453,22.85156,23.04688,23.14453,23.14453,22.75391,22.75391,22.75391,22.94922,23.04688,23.04688,23.33984,23.24219,23.33984,23.14453,23.24219,23.63281,23.73047,23.73047,24.41406,24.41406,23.92578,23.73047,22.94922,22.85156,23.63281,23.73047,23.63281,23.73047,23.73047,23.4375,23.14453,23.24219,23.53516,23.73047,23.63281,23.4375,22.94922,22.85156,23.04688
23.33984,23.33984,23.53516,23.53516,23.4375,23.24219,22.94922,23.14453,23.14453,23.04688,23.14453,22.94922,23.04688,23.14453,23.04688,22.75391,22.75391,22.75391,22.94922,23.04688,23.04688,23.33984,23.24219,23.33984,23.14453,23.33984,23.63281,23.63281,23.73047,24.31641,24.41406,23.92578,23.73047,22.94922,22.85156,23.63281,23.73047,23.82813,23.73047,23.73047,23.4375,23.14453,23.24219,23.53516,23.73047,23.63281,23.4375,23.04688,22.94922,23.04688
23.33984,23.33984,23.53516,23.53516,23.4375,23.24219,22.94922,23.04688,23.33984,23.14453,23.14453,22.85156,23.04688,23.14453,23.14453,22.75391,22.75391,22.75391,22.94922,23.14453,23.14453,23.33984,23.24219,23.33984,23.14453,23.33984,23.63281,23.63281,23.73047,24.41406,24.31641,23.92578,23.73047,22.94922,22.85156,23.63281,23.73047,23.63281,23.73047,23.63281,23.4375,23.14453,23.24219,23.53516,23.73047,23.53516,23.33984,22.94922,22.94922,23.04688
23.24219,23.24219,23.4375,23.53516,23.4375,23.33984,22.94922,23.04688,23.14453,23.14453,23.14453,22.85156,23.04688,23.14453,23.04688,22.75391,22.75391,22.65625,22.94922,23.04688,23.04688,23.33984,23.24219,23.33984,23.14453,23.33984,23.73047,23.73047,23.73047,24.41406,24.41406,23.92578,23.73047,22.94922,22.85156,23.63281,23.63281,23.73047,23.73047,23.73047,23.4375,23.14453,23.24219,23.53516,23.73047,23.63281,23.33984,23.04688,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.4375,23.24219,22.94922,23.04688,23.14453,23.14453,23.14453,22.85156,23.04688,23.14453,23.14453,22.75391,22.75391,22.75391,22.94922,23.04688,23.04688,23.33984,23.24219,23.4375,23.14453,23.24219,23.63281,23.73047,23.73047,24.41406,24.31641,23.92578,23.82813,22.94922,22.94922,23.63281,23.73047,23.63281,23.73047,23.73047,23.4375,23.14453,23.24219,23.53516,23.73047,23.63281,23.4375,22.94922,22.94922,23.04688
23.24219,23.24219,23.53516,23.53516,23.33984,23.24219,22.94922,23.04688,23.14453,23.04688,23.14453,22.85156,23.04688,23.14453,23.04688,22.75391,22.65625,22.75391,22.94922,23.04688,23.04688,23.33984,23.24219,23.33984,23.14453,23.24219,23.63281,23.73047,23.63281,24.31641,24.31641,23.92578,23.82813,22.94922,22.85156,23.53516,23.63281,23.63281,23.73047,23.73047,23.4375,23.04688,23.24219,23.53516,23.73047,23.63281,23.4375,22.94922,22.94922,23.04688
